"Site","IdGenotype","TreeId","Plot","BlockNumber","LineNumber","TreeNumber","PhytomerNumber","ObservationDate","MAP","WholeLeafFreshWeight","RachisLength","RachisFreshWeight","RachisWC","RachisDryWeight","PetioleLength","PetioleFreshWeight","PetioleWC","PetioleDryWeight","NumberOfLeaflets","LeafletsFreshWeight","LeafletsWC","LeafletsDryWeight","AverageLeafletSampleLengthBase","AverageLeafletSampleLengthMidd","AverageLeafletSampleLengthTop","AverageLeafletSampleWidthBase","AverageLeafletSampleWidthMidd","AverageLeafletSampleWidthTop","LW_ratio_base","LW_ratio_midd","LW_ratio_top","AverageleafletAreaBase","AverageleafletAreaMidd","AverageleafletAreaTop","AverageSLABase","AverageSLAMidd","AverageSLATop","LeafArea","LAI"
"PR","GE18","PR_G5-1_1_GE18_10_10","G5-1",1,10,10,14,2014-02-24,45,2.78,403,1.356,0.69195136074117,0.417713954834974,58,0.836,0.718911917098446,0.234989637305699,274,2.78,0.61090387374462,1.08168723098996,60.5,86,65.5,2.15,4.45,3.3,28.1395348837209,19.3258426966292,19.8484848484849,91.0525,267.89,151.305,40.2887168141593,118.535398230088,66.9491150442478,4.6602605,2.1325352048
"PR","GE18","PR_G5-1_1_GE18_10_10","G5-1",1,10,10,41,2015-02-07,57,3.48,450,1.844,0.702205882352941,0.549132352941177,67,1.22,0.736749560411957,0.321165536297413,295,3.48,0.599703117268679,1.393033151905,68,86.5,71,3,4.6,4.15,22.6666666666667,18.804347826087,17.1084337349398,142.8,278.53,206.255,52.9542645241038,103.286773794808,76.4851668726823,6.1712525,2.823965144
"PR","GE18","PR_G5-1_1_GE18_10_10","G5-1",1,10,10,67,2016-02-11,69,4.076,505,2.37,0.711753731343284,0.683143656716418,66,1.336,0.739538855678907,0.34797608881298,312,4.076,0.611824505082932,1.58220331728197,64,85,79,2.9,4.3,4.45,22.0689655172414,19.7674418604651,17.752808988764,129.92,255.85,246.085,53.722949689869,105.79600275672,101.758097863542,6.571292,3.0070232192
"PR","GE18","PR_G5-1_1_GE18_10_10","G5-1",1,10,10,93,2017-02-25,81,3.704,491,2.164,0.702260327357755,0.644308651597818,80,1.466,0.708067324434126,0.427973302379571,326,3.704,0.584453227931489,1.53918524374177,69.5,73.5,64.5,3.5,5,4.1,19.8571428571429,14.7,15.7317073170732,170.275,257.25,185.115,64.7844007609385,97.8757133798351,70.430564362714,6.65735466666667,3.04640549546667
"PR","GE18","PR_G5-1_1_GE18_10_10","G5-1",1,10,10,115,2018-02-09,93,5.458,572,3.286,0.709008728179551,0.956197319201995,76,1.894,0.745654792634658,0.481729822749957,327,5.458,0.588586030664395,2.24549744463373,55.5,88,81.5,2.85,5.2,4.9,19.4736842105263,16.9230769230769,16.6326530612245,110.7225,320.32,279.545,34.3858695652174,99.4782608695652,86.8152173913043,7.74540375,3.544296756
"PR","GE18","PR_G5-1_1_GE18_10_10","G5-1",1,10,10,138,2019-02-18,105,6.228,586,3.628,0.686800463141644,1.13628791972211,83,2.124,0.737652193889272,0.557226740179187,347,6.228,0.573969867489563,2.653315665275,59.5,97.5,91,3,5.05,5.15,19.8333333333333,19.3069306930693,17.6699029126214,124.95,344.6625,328.055,31.942905837239,88.1114188325522,83.8657861099276,9.22635408333333,4.22197962853333
"PR","GE18","PR_G5-1_1_GE18_10_10","G5-1",1,10,10,158,2020-02-19,117,6.904,609,3.986,0.69615141955836,1.21114044164038,76,2.096,0.72863035130138,0.568790783672308,355,6.904,0.57769216657494,2.91561328196661,73,95.5,89,3.3,4.55,5.35,22.1212121212121,20.989010989011,16.6355140186916,168.63,304.1675,333.305,43.9522154648132,79.2791051259774,86.8735881841877,9.53887958333333,4.36499129733333
"PR","GE18","PR_G5-1_1_GE18_10_10","G5-1",1,10,10,180,2021-02-10,129,6.7,670,4.284,0.695875163683981,1.30287079877783,86,2.556,0.738578680203046,0.668192893401015,349,6.7,0.582567981271385,2.79679452548172,67.5,81.5,86,3,4.5,6.2,22.5,18.1111111111111,13.8709677419355,141.75,256.725,373.24,36.6911130284728,66.4516824849008,96.6108714408973,8.97761783333333,4.10815792053333
"PR","GE18","PR_G5-1_1_GE18_10_10","G5-1",1,10,10,201,2022-02-09,141,7.32,620,4.376,0.674680587992856,1.42359774694326,88,2.44,0.723753595397891,0.674041227229147,342,7.32,0.575676944748787,3.10604476443888,74,105.5,90,3.6,5.6,6.45,20.5555555555556,18.8392857142857,13.953488372093,186.48,413.56,406.35,41.27185540391,91.5293249723349,89.9336038362228,11.472846,5.2499743296
"PR","GE18","PR_G5-1_1_GE18_10_10","G5-1",1,10,10,222,2023-02-08,153,7.302,635,4.742,0.693193717277487,1.45487539267016,75,2.132,0.765360766629087,0.500250845546787,348,7.302,0.61579672432267,2.80545231899587,58.5,99,102.5,2.75,4.75,7.25,21.2727272727273,20.8421052631579,14.1379310344828,112.6125,329.175,520.1875,26.9193227091633,78.6872509960159,124.347609561753,11.15891,5.106317216
"PR","GE18","PR_G5-1_1_GE18_10_10","G5-1",1,10,10,242,2024-02-07,165,7.18,623,4.18,0.697617091207888,1.26396055875103,82,2.174,0.730483996877439,0.585927790788447,359,7.18,0.583196271929825,2.99265076754386,73,98.5,111,3.35,6,6.65,21.7910447761194,16.4166666666667,16.6917293233083,171.185,413.7,516.705,33.7754028280171,81.6244656363038,101.947714567576,13.1823603333333,6.03224808853333
"PR","GE12","PR_G5-1_1_GE12_10_4","G5-1",1,10,4,17,2014-02-24,45,3.252,382,1.61,0.711456859971711,0.464554455445545,48,0.892,0.733981964878975,0.237288087327954,290,3.252,0.677865192430364,1.04758239421646,69,85.5,56,2.65,4.95,3.35,26.0377358490566,17.2727272727273,16.7164179104478,127.995,296.2575,131.32,50.6910891089109,117.329702970297,52.0079207920792,5.37053416666667,2.45755643466667
