"IdGenotype","IdProgeny","Site","Plot","LineNumber","TreeNumber","IdTrunk","ObservationDate","BottomPeriphery","OneAndHalfMeterPeriphery","TwoMeterPeriphery","Height","LengthWoodDensitySampleOne","WoodDensityDryWeightSampleOne","LengthWoodDensitySampleTwo","WoodDensityDryWeightSampleTwo","PlantingDate","MAP","TreeId"
"GE01","PO9915","SMSE","B22","106","14","Stipe_SMSE_B22_106_14",2018-01-18,306,298,NA,1.54,NA,NA,NA,NA,2011-01-01,84,"SMSE_B22_GE01_106_14"
"GE01","PO9915","SMSE","B22","106","14","Stipe_SMSE_B22_106_14",2019-01-30,313,267,NA,1.98,NA,NA,NA,NA,2011-01-01,96,"SMSE_B22_GE01_106_14"
"GE01","PO9915","SMSE","B22","106","14","Stipe_SMSE_B22_106_14",2020-02-22,299,258,NA,2.6,13.8,0.5,16.4,0.6,2011-01-01,109,"SMSE_B22_GE01_106_14"
"GE01","PO9915","SMSE","B22","106","14","Stipe_SMSE_B22_106_14",2021-01-21,320,268,259,3.3,NA,NA,NA,NA,2011-01-01,120,"SMSE_B22_GE01_106_14"
"GE01","PO9915","SMSE","B22","106","14","Stipe_SMSE_B22_106_14",2022-01-22,313,263,254,3.81,NA,NA,NA,NA,2011-01-01,132,"SMSE_B22_GE01_106_14"
"GE01","PO9915","SMSE","B22","106","14","Stipe_SMSE_B22_106_14",2023-02-23,319,255,257,4.74,NA,NA,NA,NA,2011-01-01,145,"SMSE_B22_GE01_106_14"
"GE01","PO9915","SMSE","B22","106","14","Stipe_SMSE_B22_106_14",2024-01-13,290,260,265,4.98,NA,NA,NA,NA,2011-01-01,156,"SMSE_B22_GE01_106_14"
"GE01","PO9915","SMSE","B22","106","16","Stipe_SMSE_B22_106_16",2018-01-18,233,253,NA,1.73,NA,NA,NA,NA,2011-01-01,84,"SMSE_B22_GE01_106_16"
"GE01","PO9915","SMSE","B22","106","16","Stipe_SMSE_B22_106_16",2019-01-30,262,260,NA,2.36,NA,NA,NA,NA,2011-01-01,96,"SMSE_B22_GE01_106_16"
"GE01","PO9915","SMSE","B22","106","16","Stipe_SMSE_B22_106_16",2020-02-22,230,254,NA,2.8,11.7,0.2,16,0.3,2011-01-01,109,"SMSE_B22_GE01_106_16"
"GE01","PO9915","SMSE","B22","106","16","Stipe_SMSE_B22_106_16",2021-01-21,235,257,245,3.43,NA,NA,NA,NA,2011-01-01,120,"SMSE_B22_GE01_106_16"
"GE01","PO9915","SMSE","B22","106","16","Stipe_SMSE_B22_106_16",2022-01-22,227,258,250,3.9,NA,NA,NA,NA,2011-01-01,132,"SMSE_B22_GE01_106_16"
"GE01","PO9915","SMSE","B22","106","16","Stipe_SMSE_B22_106_16",2023-02-23,244,257,247,4.73,NA,NA,NA,NA,2011-01-01,145,"SMSE_B22_GE01_106_16"
"GE01","PO9915","SMSE","B22","106","16","Stipe_SMSE_B22_106_16",2024-01-13,260,265,260,5.15,NA,NA,NA,NA,2011-01-01,156,"SMSE_B22_GE01_106_16"
"GE01","PO9915","SMSE","B22","107","14","Stipe_SMSE_B22_107_14",2018-01-18,280,NA,NA,1.37,NA,NA,NA,NA,2011-01-01,84,"SMSE_B22_GE01_107_14"
"GE01","PO9915","SMSE","B22","107","14","Stipe_SMSE_B22_107_14",2019-01-30,275,250,NA,1.85,NA,NA,NA,NA,2011-01-01,96,"SMSE_B22_GE01_107_14"
"GE01","PO9915","SMSE","B22","107","14","Stipe_SMSE_B22_107_14",2020-02-22,256,248,NA,2.54,14.7,0.5,12.9,0.5,2011-01-01,109,"SMSE_B22_GE01_107_14"
"GE01","PO9915","SMSE","B22","107","14","Stipe_SMSE_B22_107_14",2021-01-21,252,258,249,2.83,NA,NA,NA,NA,2011-01-01,120,"SMSE_B22_GE01_107_14"
"GE01","PO9915","SMSE","B22","107","14","Stipe_SMSE_B22_107_14",2022-01-22,239,253,251,3.2,NA,NA,NA,NA,2011-01-01,132,"SMSE_B22_GE01_107_14"
"GE01","PO9915","SMSE","B22","107","14","Stipe_SMSE_B22_107_14",2023-02-23,247,243,250,3.96,NA,NA,NA,NA,2011-01-01,145,"SMSE_B22_GE01_107_14"
