variable;value;unit;definition;sensitivity;low_boundary;high_boundary;source;comment 
reproduction|yield_formation|oil_content;0.25;;;;0.052;0.3;;(0.052 - 0.272  Woittiez., 2017)
biomass|male|fraction_biomass_first_male;0.3;;;;0.15;0.44999999999999996;;
mass_and_dimensions|roots|RL0;5.0;m;;;2.5;7.5;;
dimensions|leaf|slope;100.0;;;;50.0;150.0;;
reproduction|yield_formation|stalk_max_biomass;2100.0;;;;1050.0;3150.0;;
respiration|RootSystem|Gi;0.07;;;;0.035;0.10500000000000001;;
phyllochron|age_palm_maturity;2920.0;days;;;1460.0;4380.0;;
carbon_demand|internode|apparent_density;300000.0;�g m-3;;;150000.0;450000.0;;
respiration|RootSystem|Prot;6.25;;;;3.125;9.375;;
respiration|RootSystem|P_alive;0.8;;;;0.4;1.0;; Manually set between 0.4 and 1.0
phenology|female|duration_bunch_development;1215.0;;;;607.5;1822.5;;
respiration|RootSystem|T_ref;25.0;;;;12.5;37.5;;
carbon_demand|male|respiration_cost;1.44;;;;1.0;2.16;;Manually put the lower boundary to 1.0
dimensions|leaf|age_first_mature_leaf;2920.0;days;;;1460.0;4380.0;;
phenology|female|days_increase_number_fruits;2379.0;;;;1189.5;3568.5;;
phyllochron|threshold_ftsw_stress;0.3;;;;0.15;0.44999999999999996;;
water|Kc;1.0;;;;0.5;1.5;;
reproduction|abortion|random_seed;1.0;;;false;;;;
respiration|Leaf|P_alive;0.9;;;;0.45;1.0;; Manually set between 0.45 and 1.0
phenology|female|days_maximum_number_fruits;6500.0;;;;3250.0;9750.0;;
reproduction|yield_formation|potential_fruit_weight_at_maturity;6.5;;;6.4;3.25;9.75;;(Pallas., 2012)
respiration|Male|Mr;0.0121;;;;0.00605;0.01815;;
dimensions|internode|inflexion_point_radius;900.0;;;;450.0;1350.0;;
water|wilting_point_2;0.05;;;;0.025;0.07500000000000001;;
water|field_capacity;0.25;;;;0.125;0.375;;
phenology|male|age_mature_male;2920.0;;;;1460.0;4380.0;;
respiration|Female|Mr;0.0022;;;;0.0011;0.0033;;
management|rank_leaf_pruning;50.0;;;false;;;;
phenology|inflorescence|duration_sex_determination;1350.0;;;;675.0;2025.0;;
respiration|Internode|T_ref;25.0;;;;12.5;37.5;;
dimensions|internode|age_max_radius;2920.0;;;;1460.0;4380.0;;
radiation|threshold_ftsw;0.3;;;;0.0;1.0;;
water|transpiration_threshold;0.5;;;;0.25;0.75;;
dimensions|leaf|leaf_area_first_leaf;0.02;days;;;0.01;0.03;;
biomass_dry|Leaf;2.0;;;;1.0;3.0;;
biomass|male|max_biomass;174.852;;;;87.426;262.278;;
dimensions|internode|slope_radius;150.0;;;;75.0;225.0;;
