TreeId,MAP,Site,IdGenotype,sum_n_bunch_mes,cum_n_bunch_mes,Date
PR_G5-1_1_GE12_10_4,34,PR,GE12,0,0,2013-03-29
PR_G5-1_1_GE12_10_4,35,PR,GE12,0,0,2013-04-30
PR_G5-1_1_GE12_10_4,36,PR,GE12,0,0,2013-05-10
PR_G5-1_1_GE12_10_4,37,PR,GE12,0,0,2013-06-08
PR_G5-1_1_GE12_10_4,45,PR,GE12,10,10,2014-02-22
PR_G5-1_1_GE12_10_4,46,PR,GE12,3,13,2014-03-31
PR_G5-1_1_GE12_10_4,47,PR,GE12,3,16,2014-04-28
PR_G5-1_1_GE12_10_4,48,PR,GE12,2,18,2014-05-16
PR_G5-1_1_GE12_10_4,49,PR,GE12,3,21,2014-06-13
PR_G5-1_1_GE12_10_4,50,PR,GE12,2,23,2014-07-11
PR_G5-1_1_GE12_10_4,51,PR,GE12,2,25,2014-08-27
PR_G5-1_1_GE12_10_4,58,PR,GE12,1,26,2015-03-20
PR_G5-1_1_GE12_10_4,59,PR,GE12,4,30,2015-04-27
PR_G5-1_1_GE12_10_4,60,PR,GE12,5,35,2015-05-25
PR_G5-1_1_GE12_10_4,61,PR,GE12,1,36,2015-06-12
PR_G5-1_1_GE12_10_4,62,PR,GE12,4,40,2015-07-29
PR_G5-1_1_GE12_10_4,63,PR,GE12,2,42,2015-08-26
PR_G5-1_1_GE12_10_4,64,PR,GE12,3,45,2015-09-23
PR_G5-1_1_GE12_10_4,65,PR,GE12,2,47,2015-10-30
PR_G5-1_1_GE12_10_4,66,PR,GE12,2,49,2015-11-18
PR_G5-1_1_GE12_10_4,74,PR,GE12,4,53,2016-07-27
PR_G5-1_1_GE12_10_4,75,PR,GE12,2,55,2016-08-24
PR_G5-1_1_GE12_10_4,76,PR,GE12,3,58,2016-09-30
PR_G5-1_1_GE12_10_4,77,PR,GE12,2,60,2016-10-28
PR_G5-1_1_GE12_10_4,78,PR,GE12,2,62,2016-11-25
PR_G5-1_1_GE12_10_4,79,PR,GE12,2,64,2016-12-23
PR_G5-1_1_GE12_10_4,87,PR,GE12,2,66,2017-08-14
PR_G5-1_1_GE12_10_4,88,PR,GE12,3,69,2017-09-29
PR_G5-1_1_GE12_10_4,89,PR,GE12,2,71,2017-10-27
PR_G5-1_1_GE12_10_4,90,PR,GE12,2,73,2017-11-24
PR_G5-1_1_GE12_10_4,93,PR,GE12,2,75,2018-02-26
PR_G5-1_1_GE12_10_4,96,PR,GE12,1,76,2018-05-30
PR_G5-1_1_GE12_10_4,97,PR,GE12,1,77,2018-06-27
PR_G5-1_1_GE12_10_4,100,PR,GE12,3,82,2018-09-28
PR_G5-1_1_GE12_10_4,99,PR,GE12,2,81,2018-08-31
PR_G5-1_1_GE12_10_4,104,PR,GE12,2,84,2019-01-28
PR_G5-1_1_GE12_10_4,105,PR,GE12,1,85,2019-02-25
PR_G5-1_1_GE12_10_4,106,PR,GE12,2,87,2019-03-15
PR_G5-1_1_GE12_10_4,107,PR,GE12,1,88,2019-04-03
PR_G5-1_1_GE12_10_4,110,PR,GE12,2,90,2019-07-24
PR_G5-1_1_GE12_10_4,111,PR,GE12,3,93,2019-08-30
PR_G5-1_1_GE12_10_4,112,PR,GE12,1,94,2019-09-18
PR_G5-1_1_GE12_10_4,122,PR,GE12,2,96,2020-07-14
PR_G5-1_1_GE12_10_4,125,PR,GE12,1,97,2020-10-16
PR_G5-1_1_GE12_10_4,126,PR,GE12,1,98,2020-11-03
PR_G5-1_1_GE12_10_4,132,PR,GE12,1,99,2021-05-12
PR_G5-1_1_GE12_10_4,138,PR,GE12,1,100,2021-11-05
PR_G5-1_1_GE12_10_4,142,PR,GE12,2,102,2022-03-28
PR_G5-1_1_GE12_10_4,143,PR,GE12,1,103,2022-04-08
PR_G5-1_1_GE12_10_4,144,PR,GE12,2,105,2022-05-02
PR_G5-1_1_GE12_10_4,146,PR,GE12,1,106,2022-07-11
PR_G5-1_1_GE12_10_4,147,PR,GE12,1,107,2022-08-03
PR_G5-1_1_GE12_10_4,148,PR,GE12,1,108,2022-09-19
PR_G5-1_1_GE12_10_4,149,PR,GE12,1,109,2022-10-12
PR_G5-1_1_GE12_10_4,150,PR,GE12,2,111,2022-11-28
PR_G5-1_1_GE12_10_4,157,PR,GE12,4,115,2023-06-30
PR_G5-1_1_GE12_10_4,158,PR,GE12,1,116,2023-07-13
PR_G5-1_1_GE12_10_4,159,PR,GE12,1,117,2023-08-05
PR_G5-1_1_GE12_10_4,160,PR,GE12,2,119,2023-09-21
PR_G5-1_1_GE12_10_4,161,PR,GE12,3,122,2023-10-26
PR_G5-1_1_GE12_10_4,162,PR,GE12,1,123,2023-11-18
PR_G5-1_1_GE12_10_4,163,PR,GE12,1,124,2023-12-12
PR_G5-1_1_GE12_10_4,164,PR,GE12,1,125,2024-01-04
PR_G5-1_1_GE12_10_5,35,PR,GE12,0,0,2013-04-30
PR_G5-1_1_GE12_10_5,36,PR,GE12,0,0,2013-05-20
PR_G5-1_1_GE12_10_5,39,PR,GE12,0,0,2013-08-30
PR_G5-1_1_GE12_10_5,40,PR,GE12,0,0,2013-09-30
PR_G5-1_1_GE12_10_5,42,PR,GE12,0,0,2013-11-18
PR_G5-1_1_GE12_10_5,43,PR,GE12,0,0,2013-12-06
PR_G5-1_1_GE12_10_5,44,PR,GE12,0,1,2014-01-24
PR_G5-1_1_GE12_10_5,45,PR,GE12,4,4,2014-02-13
PR_G5-1_1_GE12_10_5,46,PR,GE12,4,8,2014-03-31
PR_G5-1_1_GE12_10_5,47,PR,GE12,1,9,2014-04-28
PR_G5-1_1_GE12_10_5,48,PR,GE12,3,12,2014-05-26
PR_G5-1_1_GE12_10_5,49,PR,GE12,2,14,2014-06-13
PR_G5-1_1_GE12_10_5,50,PR,GE12,2,16,2014-07-21
PR_G5-1_1_GE12_10_5,52,PR,GE12,1,17,2014-09-15
PR_G5-1_1_GE12_10_5,60,PR,GE12,4,21,2015-05-25
PR_G5-1_1_GE12_10_5,61,PR,GE12,3,24,2015-06-12
PR_G5-1_1_GE12_10_5,62,PR,GE12,4,28,2015-07-29
PR_G5-1_1_GE12_10_5,63,PR,GE12,3,31,2015-08-26
PR_G5-1_1_GE12_10_5,64,PR,GE12,1,32,2015-09-14
PR_G5-1_1_GE12_10_5,65,PR,GE12,3,35,2015-10-21
PR_G5-1_1_GE12_10_5,66,PR,GE12,1,36,2015-11-18
PR_G5-1_1_GE12_10_5,67,PR,GE12,1,37,2015-12-07
PR_G5-1_1_GE12_10_5,75,PR,GE12,3,40,2016-08-15
PR_G5-1_1_GE12_10_5,76,PR,GE12,5,45,2016-09-21
PR_G5-1_1_GE12_10_5,77,PR,GE12,3,48,2016-10-28
PR_G5-1_1_GE12_10_5,78,PR,GE12,1,49,2016-11-16
PR_G5-1_1_GE12_10_5,79,PR,GE12,1,50,2016-12-23
PR_G5-1_1_GE12_10_5,80,PR,GE12,2,52,2017-01-30
PR_G5-1_1_GE12_10_5,89,PR,GE12,2,54,2017-10-27
PR_G5-1_1_GE12_10_5,90,PR,GE12,2,57,2017-11-24
PR_G5-1_1_GE12_10_5,91,PR,GE12,1,56,2017-12-04
PR_G5-1_1_GE12_10_5,97,PR,GE12,1,58,2018-06-18
PR_G5-1_1_GE12_10_5,98,PR,GE12,1,59,2018-07-06
PR_G5-1_1_GE12_10_5,105,PR,GE12,2,61,2019-02-25
PR_G5-1_1_GE12_10_5,108,PR,GE12,3,64,2019-05-29
PR_G5-1_1_GE12_10_5,109,PR,GE12,2,66,2019-06-26
PR_G5-1_1_GE12_10_5,110,PR,GE12,1,67,2019-07-15
PR_G5-1_1_GE12_10_5,111,PR,GE12,1,68,2019-08-02
PR_G5-1_1_GE12_10_5,112,PR,GE12,1,69,2019-09-09
PR_G5-1_1_GE12_10_5,113,PR,GE12,1,70,2019-10-07
PR_G5-1_1_GE12_10_5,122,PR,GE12,1,71,2020-07-04
PR_G5-1_1_GE12_10_5,127,PR,GE12,1,72,2020-12-19
PR_G5-1_1_GE12_10_5,139,PR,GE12,2,74,2021-12-22
PR_G5-1_1_GE12_10_5,144,PR,GE12,1,75,2022-05-02
PR_G5-1_1_GE12_10_5,148,PR,GE12,1,76,2022-09-30
PR_G5-1_1_GE12_10_5,150,PR,GE12,1,77,2022-11-16
PR_G5-1_1_GE12_10_5,154,PR,GE12,2,79,2023-03-29
PR_G5-1_1_GE12_10_5,155,PR,GE12,1,80,2023-04-21
PR_G5-1_1_GE12_10_5,156,PR,GE12,1,81,2023-05-15
PR_G5-1_1_GE12_10_5,157,PR,GE12,2,83,2023-06-30
PR_G5-1_1_GE12_10_5,159,PR,GE12,1,84,2023-08-05
PR_G5-1_1_GE12_10_5,160,PR,GE12,1,85,2023-09-09
PR_G5-1_1_GE12_10_5,161,PR,GE12,1,86,2023-10-03
PR_G5-1_1_GE12_10_5,162,PR,GE12,1,87,2023-11-07
PR_G5-1_2_GE16_13_3,35,PR,GE16,0,0,2013-04-10
PR_G5-1_2_GE16_13_3,41,PR,GE16,0,0,2013-10-21
PR_G5-1_2_GE16_13_3,42,PR,GE16,0,0,2013-11-18
PR_G5-1_2_GE16_13_3,43,PR,GE16,0,0,2013-12-06
PR_G5-1_2_GE16_13_3,44,PR,GE16,0,0,2014-01-14
PR_G5-1_2_GE16_13_3,45,PR,GE16,4,4,2014-02-22
PR_G5-1_2_GE16_13_3,46,PR,GE16,2,7,2014-03-31
PR_G5-1_2_GE16_13_3,47,PR,GE16,2,8,2014-04-28
PR_G5-1_2_GE16_13_3,48,PR,GE16,2,10,2014-05-26
PR_G5-1_2_GE16_13_3,49,PR,GE16,3,13,2014-06-23
PR_G5-1_2_GE16_13_3,50,PR,GE16,2,15,2014-07-21
PR_G5-1_2_GE16_13_3,51,PR,GE16,3,18,2014-08-27
PR_G5-1_2_GE16_13_3,52,PR,GE16,2,20,2014-09-15
PR_G5-1_2_GE16_13_3,53,PR,GE16,2,22,2014-10-31
PR_G5-1_2_GE16_13_3,55,PR,GE16,1,23,2014-12-08
PR_G5-1_2_GE16_13_3,58,PR,GE16,3,27,2015-03-11
PR_G5-1_2_GE16_13_3,57,PR,GE16,1,25,2015-02-20
PR_G5-1_2_GE16_13_3,59,PR,GE16,5,32,2015-04-17
PR_G5-1_2_GE16_13_3,60,PR,GE16,3,35,2015-05-25
PR_G5-1_2_GE16_13_3,61,PR,GE16,2,37,2015-06-22
PR_G5-1_2_GE16_13_3,62,PR,GE16,4,41,2015-07-29
PR_G5-1_2_GE16_13_3,63,PR,GE16,2,43,2015-08-26
PR_G5-1_2_GE16_13_3,64,PR,GE16,2,45,2015-09-23
PR_G5-1_2_GE16_13_3,71,PR,GE16,6,51,2016-04-15
PR_G5-1_2_GE16_13_3,72,PR,GE16,2,53,2016-05-13
PR_G5-1_2_GE16_13_3,73,PR,GE16,2,55,2016-06-29
PR_G5-1_2_GE16_13_3,74,PR,GE16,2,57,2016-07-27
PR_G5-1_2_GE16_13_3,75,PR,GE16,1,58,2016-08-15
PR_G5-1_2_GE16_13_3,76,PR,GE16,2,60,2016-09-12
PR_G5-1_2_GE16_13_3,77,PR,GE16,2,62,2016-10-28
PR_G5-1_2_GE16_13_3,82,PR,GE16,1,63,2017-03-17
PR_G5-1_2_GE16_13_3,83,PR,GE16,2,65,2017-04-05
PR_G5-1_2_GE16_13_3,87,PR,GE16,2,67,2017-08-23
PR_G5-1_2_GE16_13_3,88,PR,GE16,2,69,2017-09-29
PR_G5-1_2_GE16_13_3,89,PR,GE16,1,70,2017-10-09
PR_G5-1_2_GE16_13_3,90,PR,GE16,1,71,2017-11-06
PR_G5-1_2_GE16_13_3,92,PR,GE16,4,75,2018-01-19
PR_G5-1_2_GE16_13_3,93,PR,GE16,3,78,2018-02-26
PR_G5-1_2_GE16_13_3,94,PR,GE16,1,79,2018-03-26
PR_G5-1_2_GE16_13_3,104,PR,GE16,6,85,2019-01-28
PR_G5-1_2_GE16_13_3,105,PR,GE16,2,87,2019-02-25
PR_G5-1_2_GE16_13_3,106,PR,GE16,1,88,2019-03-15
PR_G5-1_2_GE16_13_3,107,PR,GE16,2,90,2019-04-22
PR_G5-1_2_GE16_13_3,117,PR,GE16,2,92,2020-02-24
PR_G5-1_2_GE16_13_3,118,PR,GE16,1,93,2020-03-13
PR_G5-1_2_GE16_13_3,119,PR,GE16,2,95,2020-04-20
PR_G5-1_2_GE16_13_3,121,PR,GE16,1,96,2020-06-15
PR_G5-1_2_GE16_13_3,122,PR,GE16,1,97,2020-07-04
PR_G5-1_2_GE16_13_3,123,PR,GE16,2,99,2020-08-18
PR_G5-1_2_GE16_13_3,124,PR,GE16,1,100,2020-09-23
PR_G5-1_2_GE16_13_3,125,PR,GE16,1,101,2020-10-05
PR_G5-1_2_GE16_13_3,130,PR,GE16,3,104,2021-03-26
PR_G5-1_2_GE16_13_3,131,PR,GE16,1,105,2021-04-07
PR_G5-1_2_GE16_13_3,137,PR,GE16,1,106,2021-10-13
PR_G5-1_2_GE16_13_3,141,PR,GE16,1,107,2022-02-09
PR_G5-1_2_GE16_13_3,142,PR,GE16,2,109,2022-03-16
PR_G5-1_2_GE16_13_3,143,PR,GE16,1,110,2022-04-08
PR_G5-1_2_GE16_13_3,152,PR,GE16,1,111,2023-01-27
PR_G5-1_2_GE16_13_3,153,PR,GE16,1,112,2023-02-08
PR_G5-1_2_GE16_13_3,154,PR,GE16,1,113,2023-03-29
PR_G5-1_2_GE16_13_3,155,PR,GE16,1,114,2023-04-10
