TreeId,MAP,Site,IdGenotype,sum_of_fruit,Cumulated_n_fruit_mes,Date
PR_G5-1_1_GE02_14_19,46,PR,GE02,779.0,779,2014-03-31
PR_G5-1_1_GE02_14_19,48,PR,GE02,758.5,2296,2014-05-26
PR_G5-1_1_GE02_14_19,50,PR,GE02,609.0,2905,2014-07-21
PR_G5-1_1_GE02_14_19,51,PR,GE02,839.0,4583,2014-08-27
PR_G5-1_1_GE02_14_19,57,PR,GE02,899.0,5482,2015-02-11
PR_G5-1_1_GE02_14_19,58,PR,GE02,1044.0,7570,2015-03-30
PR_G5-1_1_GE02_14_19,59,PR,GE02,1245.0,8815,2015-04-27
PR_G5-1_1_GE02_14_19,61,PR,GE02,1070.0,9885,2015-06-12
PR_G5-1_1_GE02_14_19,62,PR,GE02,650.0,10535,2015-07-01
PR_G5-1_1_GE02_14_19,64,PR,GE02,1270.0,11805,2015-09-04
PR_G5-1_1_GE02_14_19,65,PR,GE02,1081.0,12886,2015-10-02
PR_G5-1_1_GE02_14_19,70,PR,GE02,1460.0,15806,2016-03-28
PR_G5-1_1_GE02_14_19,73,PR,GE02,1011.5,17829,2016-06-29
PR_G5-1_1_GE02_14_19,75,PR,GE02,770.0,18599,2016-08-24
PR_G5-1_1_GE02_14_19,76,PR,GE02,1110.5,20820,2016-09-30
PR_G5-1_1_GE02_14_19,85,PR,GE02,1144.5,23109,2017-06-28
PR_G5-1_1_GE02_14_19,87,PR,GE02,1147.0,24256,2017-08-23
PR_G5-1_1_GE02_14_19,88,PR,GE02,1160.0,25416,2017-09-01
PR_G5-1_1_GE02_14_19,89,PR,GE02,1645.0,28706,2017-10-27
PR_G5-1_1_GE02_14_19,90,PR,GE02,1771.0,30477,2017-11-24
PR_G5-1_1_GE02_14_19,92,PR,GE02,1667.0,32144,2018-01-29
PR_G5-1_1_GE02_14_19,98,PR,GE02,1116.0,33260,2018-07-25
PR_G5-1_1_GE02_14_19,100,PR,GE02,1307.0,35874,2018-09-28
PR_G5-1_1_GE02_14_19,102,PR,GE02,1662.0,37536,2018-11-05
PR_G5-1_1_GE02_14_19,103,PR,GE02,1968.0,39504,2018-12-21
PR_G5-1_1_GE02_14_19,104,PR,GE02,1936.0,43376,2019-01-28
PR_G5-1_1_GE02_14_19,105,PR,GE02,1215.0,44591,2019-02-25
PR_G5-1_1_GE02_14_19,113,PR,GE02,2162.0,46753,2019-10-07
PR_G5-1_1_GE02_14_19,114,PR,GE02,1949.0,48702,2019-11-04
PR_G5-1_1_GE02_14_19,116,PR,GE02,1831.0,50533,2020-01-27
PR_G5-1_1_GE02_14_19,119,PR,GE02,1658.0,52191,2020-04-01
PR_G5-1_1_GE02_14_19,125,PR,GE02,1576.0,53767,2020-10-05
PR_G5-1_1_GE02_14_19,129,PR,GE02,2495.0,56262,2021-02-08
PR_G5-1_1_GE02_14_19,130,PR,GE02,2348.0,58610,2021-03-26
PR_G5-1_1_GE02_14_19,131,PR,GE02,2074.0,60684,2021-04-07
PR_G5-1_1_GE02_14_19,132,PR,GE02,2329.0,63013,2021-05-12
PR_G5-1_1_GE02_14_19,133,PR,GE02,2396.0,65409,2021-06-04
PR_G5-1_1_GE02_14_19,144,PR,GE02,2108.0,67517,2022-05-02
PR_G5-1_1_GE02_14_19,145,PR,GE02,3024.0,70541,2022-06-06
PR_G5-1_1_GE02_14_19,147,PR,GE02,1652.0,72193,2022-08-03
PR_G5-1_1_GE02_14_19,148,PR,GE02,1728.0,73921,2022-09-07
PR_G5-1_1_GE02_14_19,158,PR,GE02,1882.0,75803,2023-07-13
PR_G5-1_1_GE02_14_19,159,PR,GE02,2583.0,80969,2023-08-29
PR_G5-1_1_GE02_14_19,161,PR,GE02,1834.0,82803,2023-10-03
PR_G5-1_1_GE02_14_19,164,PR,GE02,2070.0,84873,2024-01-10
PR_G5-1_1_GE02_14_20,46,PR,GE02,416.0,416,2014-03-31
PR_G5-1_1_GE02_14_20,48,PR,GE02,452.0,868,2014-05-26
PR_G5-1_1_GE02_14_20,50,PR,GE02,564.5,1997,2014-07-30
PR_G5-1_1_GE02_14_20,51,PR,GE02,530.0,2527,2014-08-27
PR_G5-1_1_GE02_14_20,53,PR,GE02,890.0,3417,2014-10-13
PR_G5-1_1_GE02_14_20,54,PR,GE02,803.0,5023,2014-11-28
