Site,TreeId,MAP,IdGenotype,Date,BunchMass,DryMesocarpOilContent,MesocarpsSampleWC,n_of_fruit,biomass_fresh_fruit,biomass_dry_fruit,stalk_dry_biomass,stalk_fresh_biomass
PR,PR_G5-1_1_GE12_10_4,45,GE12,2014-02-22,50.599999999999994,,,,,,,
PR,PR_G5-1_1_GE12_10_5,45,GE12,2014-02-13,19.8,,,,,,,
PR,PR_G5-1_2_GE16_13_3,45,GE16,2014-02-22,16.2,,,,,,,
PR,PR_G5-1_1_GE06_14_14,45,GE06,2014-02-22,10.6,,,,,,,
PR,PR_G5-1_1_GE06_14_15,45,GE06,2014-02-22,11.200000000000001,,,,,,,
PR,PR_G5-1_1_GE02_14_19,45,GE02,2014-02-22,12.8,,,,,,,
PR,PR_G5-1_1_GE02_14_20,45,GE02,2014-02-13,6.0,,,,,,,
PR,PR_G5-1_1_GE02_14_21,45,GE02,2014-02-22,12.8,,,,,,,
PR,PR_G5-1_1_GE16_14_24,45,GE16,2014-02-22,21.400000000000002,,,,,,,
PR,PR_G5-1_1_GE16_14_25,45,GE16,2014-02-13,6.0,,,,,,,
PR,PR_G5-1_1_GE16_14_26,45,GE16,2014-02-22,14.400000000000002,,,,,,,
PR,PR_G5-1_1_GE06_15_15,45,GE06,2014-02-22,11.0,,,,,,,
PR,PR_G5-1_1_GE03_19_18,45,GE03,2014-02-22,8.8,,,,,,,
PR,PR_G5-1_1_GE03_19_19,45,GE03,2014-02-22,10.2,,,,,,,
PR,PR_G5-1_1_GE03_19_20,45,GE03,2014-02-22,18.200000000000003,,,,,,,
PR,PR_G5-1_2_GE16_24_10,45,GE16,2014-02-24,18.8,,,,,,,
PR,PR_G5-1_2_GE16_24_11,45,GE16,2014-02-24,19.2,,,,,,,
PR,PR_G5-1_2_GE16_24_9,45,GE16,2014-02-24,10.8,,,,,,,
PR,PR_G5-1_2_GE09_28_25,45,GE09,2014-02-13,6.800000000000001,,,,,,,
PR,PR_G5-1_2_GE09_28_26,45,GE09,2014-02-24,19.0,,,,,,,
PR,PR_G5-1_2_GE12_29_10,45,GE12,2014-02-24,14.800000000000002,,,,,,,
PR,PR_G5-1_2_GE02_29_13,45,GE02,2014-02-24,10.6,,,,,,,
PR,PR_G5-1_2_GE02_29_14,45,GE02,2014-02-03,11.600000000000001,,,,,,,
PR,PR_G5-1_2_GE02_29_15,45,GE02,2014-02-24,9.2,,,,,,,
PR,PR_G5-1_2_GE03_29_18,45,GE03,2014-02-24,13.8,,,,,,,
PR,PR_G5-1_2_GE03_29_19,45,GE03,2014-02-24,16.4,,,,,,,
PR,PR_G5-1_2_GE03_29_20,45,GE03,2014-02-24,13.600000000000001,,,,,,,
PR,PR_G5-1_2_GE09_29_25,45,GE09,2014-02-24,7.199999999999999,,,,,,,
PR,PR_G5-1_2_GE12_29_8,45,GE12,2014-02-03,18.2,,,,,,,
PR,PR_G5-1_2_GE12_29_9,45,GE12,2014-02-13,5.6,,,,,,,
PR,PR_G5-1_3_GE03_33_4,45,GE03,2014-02-24,21.200000000000003,,,,,,,
PR,PR_G5-1_3_GE03_33_5,45,GE03,2014-02-24,21.7,,,,,,,
PR,PR_G5-1_2_GE06_34_10,45,GE06,2014-02-24,19.799999999999997,,,,,,,
PR,PR_G5-1_2_GE06_34_11,45,GE06,2014-02-24,14.200000000000001,,,,,,,
PR,PR_G5-1_2_GE06_34_9,45,GE06,2014-02-24,8.600000000000001,,,,,,,
PR,PR_G5-1_3_GE16_39_19,45,GE16,2014-02-24,13.6,,,,,,,
PR,PR_G5-1_3_GE16_39_20,45,GE16,2014-02-24,21.6,,,,,,,
PR,PR_G5-1_3_GE06_39_23,45,GE06,2014-02-24,14.2,,,,,,,
PR,PR_G5-1_3_GE06_39_24,45,GE06,2014-02-24,13.399999999999999,,,,,,,
PR,PR_G5-1_3_GE06_39_25,45,GE06,2014-02-13,9.6,,,,,,,
PR,PR_G5-1_3_GE12_39_3,45,GE12,2014-02-24,17.6,,,,,,,
PR,PR_G5-1_3_GE12_39_4,45,GE12,2014-02-24,17.200000000000003,,,,,,,
PR,PR_G5-1_3_GE12_39_5,45,GE12,2014-02-24,15.8,,,,,,,
PR,PR_G5-1_1_GE09_3_10,45,GE09,2014-02-22,9.8,,,,,,,
PR,PR_G5-1_1_GE09_3_8,45,GE09,2014-02-13,16.599999999999998,,,,,,,
PR,PR_G5-1_3_GE09_44_6,45,GE09,2014-02-25,12.4,,,,,,,
PR,PR_G5-1_4_GE02_49_10,45,GE02,2014-02-25,12.6,,,,,,,
PR,PR_G5-1_3_GE02_49_4,45,GE02,2014-02-14,3.4,,,,,,,
